timestamp,gas_value,fan_on
2025-12-10T16:13:18.057638,90,0
2025-12-10T16:13:18.558632,176,0
2025-12-10T16:13:19.059631,380,1
2025-12-10T16:13:19.560741,522,1
2025-12-10T16:13:20.061988,566,1
2025-12-10T16:13:20.564569,591,1
2025-12-10T16:13:21.065588,619,1
2025-12-10T16:13:21.566607,647,1
2025-12-10T16:13:22.067613,675,1
2025-12-10T16:13:22.568628,703,1
2025-12-10T16:13:23.069636,732,1
2025-12-10T16:13:23.570640,760,1
2025-12-10T16:13:24.071645,787,1
2025-12-10T16:13:24.572690,807,1
2025-12-10T16:13:25.073780,751,1
2025-12-10T16:13:25.576564,638,1
2025-12-10T16:13:26.077583,558,1
2025-12-10T16:13:26.578580,477,1
2025-12-10T16:13:27.079578,407,1
2025-12-10T16:13:27.580580,343,1
2025-12-10T16:13:28.081573,289,0
2025-12-10T16:13:28.582608,247,0
2025-12-10T16:13:29.083619,216,0
2025-12-10T16:13:29.584672,193,0
2025-12-10T16:13:30.085674,176,0
2025-12-10T16:13:30.588446,162,0
2025-12-10T16:13:31.089763,154,0
2025-12-10T16:13:31.591097,145,0
2025-12-10T16:13:32.092447,140,0
2025-12-10T16:13:32.593689,135,0
2025-12-10T16:13:33.094699,131,0
2025-12-10T16:13:33.595704,128,0
2025-12-10T16:13:34.096744,124,0
2025-12-10T16:13:34.597749,122,0
2025-12-10T16:13:35.098777,119,0
2025-12-10T16:13:35.602113,118,0
2025-12-10T16:13:36.103122,116,0
2025-12-10T16:13:36.604127,114,0
2025-12-10T16:13:37.105141,113,0
2025-12-10T16:13:37.606224,112,0
2025-12-10T16:13:38.107466,111,0
2025-12-10T16:13:38.608478,109,0
2025-12-10T16:13:39.109466,108,0
2025-12-10T16:13:39.610479,106,0
2025-12-10T16:13:40.111500,106,0
2025-12-10T16:13:40.621333,105,0
2025-12-10T16:13:41.122325,104,0
2025-12-10T16:13:41.623322,103,0
2025-12-10T16:13:42.124367,102,0
2025-12-10T16:13:42.625347,102,0
2025-12-10T16:13:43.126436,100,0
2025-12-10T16:13:43.627675,100,0
2025-12-10T16:13:44.128704,99,0
2025-12-10T16:13:44.629700,98,0
2025-12-10T16:13:45.130699,98,0
2025-12-10T16:13:45.634475,97,0
2025-12-10T16:13:46.135476,97,0
2025-12-10T16:13:46.636490,95,0
2025-12-10T16:13:47.137486,95,0
2025-12-10T16:13:47.638501,94,0
2025-12-10T16:13:48.139500,94,0
2025-12-10T16:13:48.640603,94,0
2025-12-10T16:13:49.141914,93,0
2025-12-10T16:13:49.643141,93,0
2025-12-10T16:13:50.144144,92,0
2025-12-10T16:13:50.646699,91,0
2025-12-10T16:13:51.147702,91,0
2025-12-10T16:13:51.648729,90,0
2025-12-10T16:13:52.149737,89,0
2025-12-10T16:13:52.650744,89,0
2025-12-10T16:13:53.151762,89,0
2025-12-10T16:13:53.652806,88,0
2025-12-10T16:13:54.153810,89,0
2025-12-10T16:13:54.654885,88,0
2025-12-10T16:13:55.156196,87,0
2025-12-10T16:13:55.660216,87,0
2025-12-10T16:13:56.161216,86,0
2025-12-10T16:13:56.662224,86,0
2025-12-10T16:13:57.163218,86,0
2025-12-10T16:13:57.664224,85,0
2025-12-10T16:13:58.165237,85,0
2025-12-10T16:13:58.666231,84,0
2025-12-10T16:13:59.167226,85,0
2025-12-10T16:13:59.668213,84,0
2025-12-10T16:14:00.169245,83,0
2025-12-10T16:14:00.670313,83,0
2025-12-10T16:14:01.171666,83,0
2025-12-10T16:14:01.672931,83,0
2025-12-10T16:14:02.173948,82,0
2025-12-10T16:14:02.674950,82,0
2025-12-10T16:14:03.175949,82,0
2025-12-10T16:14:03.676958,82,0
2025-12-10T16:14:04.177955,80,0
2025-12-10T16:14:04.678956,81,0
2025-12-10T16:14:05.179948,81,0
2025-12-10T16:14:05.680985,81,0
2025-12-10T16:14:06.185505,80,0
2025-12-10T16:14:06.686595,80,0
2025-12-10T16:14:07.187913,80,0
2025-12-10T16:14:07.689225,80,0
2025-12-10T16:14:08.190245,79,0
2025-12-10T16:14:08.691251,79,0
2025-12-10T16:14:09.192256,78,0
2025-12-10T16:14:09.693298,78,0
2025-12-10T16:14:10.194319,78,0
2025-12-10T16:14:10.695315,77,0
2025-12-10T16:14:11.199880,78,0
2025-12-10T16:14:11.700953,77,0
2025-12-10T16:14:12.201963,77,0
2025-12-10T16:14:12.703056,77,0
2025-12-10T16:14:13.204399,77,0
2025-12-10T16:14:13.705655,77,0
2025-12-10T16:14:14.206669,76,0
2025-12-10T16:14:14.707711,76,0
2025-12-10T16:14:15.208725,76,0
2025-12-10T16:14:15.709749,75,0
2025-12-10T16:14:16.213021,76,0
2025-12-10T16:14:16.714043,75,0
2025-12-10T16:14:17.215049,76,0
2025-12-10T16:14:17.716055,75,0
2025-12-10T16:14:18.217088,75,0
2025-12-10T16:14:18.718171,75,0
2025-12-10T16:14:19.219439,74,0
2025-12-10T16:14:19.720451,74,0
2025-12-10T16:14:20.221485,74,0
2025-12-10T16:14:20.722490,74,0
2025-12-10T16:14:21.225094,74,0
2025-12-10T16:14:21.726089,74,0
2025-12-10T16:14:22.227112,73,0
2025-12-10T16:14:22.728108,73,0
2025-12-10T16:14:23.229149,72,0
2025-12-10T16:14:23.730157,73,0
2025-12-10T16:14:24.231244,72,0
2025-12-10T16:14:24.732586,72,0
2025-12-10T16:14:25.233854,73,0
2025-12-10T16:14:25.734853,72,0
2025-12-10T16:14:26.237393,71,0
2025-12-10T16:14:26.738389,72,0
2025-12-10T16:14:27.239406,72,0
2025-12-10T16:14:27.740397,71,0
2025-12-10T16:14:28.241429,71,0
2025-12-10T16:14:28.742423,71,0
2025-12-10T16:14:29.243458,71,0
2025-12-10T16:14:29.744463,71,0
2025-12-10T16:14:30.245550,70,0
2025-12-10T16:14:30.746798,70,0
2025-12-10T16:14:31.249366,70,0
2025-12-10T16:14:31.750372,70,0
2025-12-10T16:14:32.251388,70,0
2025-12-10T16:14:32.752414,70,0
2025-12-10T16:14:33.253430,69,0
2025-12-10T16:14:33.754448,69,0
2025-12-10T16:14:34.255468,69,0
2025-12-10T16:14:34.756508,69,0
2025-12-10T16:14:35.257582,69,0
2025-12-10T16:14:35.758663,69,0
2025-12-10T16:14:36.262127,69,0
2025-12-10T16:14:36.763135,69,0
2025-12-10T16:14:37.264171,69,0
2025-12-10T16:14:37.765227,69,0
2025-12-10T16:14:38.266266,69,0
2025-12-10T16:14:38.767273,69,0
2025-12-10T16:14:39.268269,68,0
2025-12-10T16:14:39.769289,68,0
2025-12-10T16:14:40.270281,68,0
2025-12-10T16:14:40.771283,68,0
2025-12-10T16:14:41.274474,68,0
2025-12-10T16:14:41.775727,68,0
2025-12-10T16:14:42.276731,67,0
2025-12-10T16:14:42.777748,68,0
2025-12-10T16:14:43.278763,66,0
2025-12-10T16:14:43.779773,67,0
2025-12-10T16:14:44.280792,67,0
2025-12-10T16:14:44.781802,67,0
2025-12-10T16:14:45.282822,67,0
2025-12-10T16:14:45.783848,67,0
2025-12-10T16:14:46.286465,66,0
2025-12-10T16:14:46.787545,67,0
2025-12-10T16:14:47.288845,66,0
2025-12-10T16:14:47.789852,66,0
2025-12-10T16:14:48.290860,66,0
2025-12-10T16:14:48.791867,66,0
2025-12-10T16:14:49.292916,66,0
2025-12-10T16:14:49.793930,66,0
2025-12-10T16:14:50.294932,66,0
2025-12-10T16:14:50.795953,66,0
2025-12-10T16:14:51.298458,65,0
2025-12-10T16:14:51.799509,66,0
2025-12-10T16:14:52.300609,65,0
2025-12-10T16:14:52.801856,65,0
2025-12-10T16:14:53.302868,65,0
2025-12-10T16:14:53.803864,64,0
2025-12-10T16:14:54.304897,65,0
2025-12-10T16:14:54.805910,65,0
2025-12-10T16:14:55.306935,65,0
2025-12-10T16:14:55.807932,65,0
2025-12-10T16:14:56.310513,65,0
2025-12-10T16:14:56.811524,64,0
2025-12-10T16:14:57.312546,64,0
2025-12-10T16:14:57.813612,65,0
2025-12-10T16:14:58.314871,64,0
2025-12-10T16:14:58.815870,64,0
2025-12-10T16:14:59.316919,64,0
2025-12-10T16:14:59.817944,64,0
2025-12-10T16:15:00.318950,63,0
2025-12-10T16:15:00.819989,64,0
2025-12-10T16:15:01.323256,63,0
2025-12-10T16:15:01.824261,63,0
2025-12-10T16:15:02.325271,64,0
2025-12-10T16:15:02.826254,63,0
2025-12-10T16:15:03.327354,63,0
2025-12-10T16:15:03.828595,62,0
2025-12-10T16:15:04.329618,63,0
2025-12-10T16:15:04.830613,63,0
2025-12-10T16:15:05.331630,63,0
2025-12-10T16:15:05.832667,63,0
2025-12-10T16:15:06.335243,63,0
2025-12-10T16:15:06.836250,63,0
2025-12-10T16:15:07.337276,62,0
2025-12-10T16:15:07.838289,63,0
2025-12-10T16:15:08.339301,62,0
2025-12-10T16:15:08.840410,63,0
2025-12-10T16:15:09.341736,62,0
2025-12-10T16:15:09.842985,62,0
2025-12-10T16:15:10.343994,62,0
2025-12-10T16:15:10.845020,62,0
2025-12-10T16:15:11.494027,61,0
2025-12-10T16:15:11.995023,62,0
2025-12-10T16:15:12.496064,62,0
2025-12-10T16:15:12.997076,62,0
2025-12-10T16:15:13.498069,61,0
2025-12-10T16:15:13.999063,61,0
2025-12-10T16:15:14.500126,62,0
2025-12-10T16:15:15.001428,62,0
2025-12-10T16:15:15.502756,61,0
2025-12-10T16:15:16.004090,62,0
2025-12-10T16:15:16.627146,60,0
2025-12-10T16:15:17.128469,61,0
2025-12-10T16:15:17.629786,61,0
2025-12-10T16:15:18.131117,61,0
2025-12-10T16:15:18.632385,61,0
